# entire lines can be commented out with the "#" character
# Propeller Diameter [m]
0.4
# Hub Diameter [m]
0.101
# number of blades
2
# r/R   c/R    Airfoil    beta
0.26   0.18   NACA4418   51.8
0.30   0.16   NACA4418   48.0
0.40   0.16   NACA4412   27
0.50   0.16   NACA4412   23
0.60   0.12   NACA4412   20
0.70   0.08   NACA4412   17.7
0.80   0.07   NACA4412   15.8
0.90   0.06   NACA4412   15.5
0.95   0.03   NACA4412   14.2
1.00   0.002  NACA4412   14.2
