ref_re,dcl_da,zero_lift,cd_min,cl_cd_min,cd2,cm,cl_min,cl_max,dcl,dcl_da_stall
100000.0,6.355195302119687,-3.7278816260278145,0.021098400635551982,0.5048813700069544,0.02229575696183327,-0.09632881355932203,-0.6346,1.469,0.021299999999999875,1.0
228571.42857142858,6.216286001927594,-4.332852289892226,0.012389047594046751,0.5131853311810085,0.010152531698866178,-0.09938205128205128,-0.4126,1.4624,0.02849999999999997,2.0411621451535535
357142.85714285716,6.102244636817373,-4.344919081808876,0.010447722656976327,0.5053863881196693,0.00817279859752628,-0.09660423728813558,-0.3837,1.4047,0.09009999999999985,2.8679720745159485
485714.2857142857,6.043761040870819,-4.34953060053259,0.009508103460948322,0.50871407988713,0.007178434743088469,-0.09521896551724138,-0.3904,1.3854,0.12490000000000001,3.2528376641745385
614285.7142857143,6.039861317073015,-4.33734304453051,0.008917996635338241,0.5153057763175158,0.006455336006096819,-0.09474568965517241,-0.1745,1.381,0.14419999999999988,3.442521419077693
742857.1428571428,6.059444231726479,-4.325476992217181,0.008524818279406049,0.5260394006958283,0.005862534583043325,-0.09484347826086957,-0.1234,1.3675,0.16980000000000017,3.603267911600515
871428.5714285714,6.0966325154817955,-4.306622472437932,0.008231152757763342,0.5341907257238918,0.005314164470117556,-0.09539826086956522,-0.1147,1.3607,0.18700000000000006,3.6945899203263433
1000000.0,6.118296844807282,-4.303868965352293,0.007982255896274229,0.5421722264454552,0.004980192653448632,-0.09555963302752293,-0.1162,1.352,0.20350000000000001,3.76119068739105
