 ref_Re      0-lift     dcl/da  dcl/da@stall  cl_max      cl_min   dCL@stall    cm_avg     min Cd    CL@CDmin     CD2         r         mach
3.11E+05   -5.01E+00   6.86E+00   5.46E+00   1.29E+00   2.03E-01  8.57E-02   -1.57E-01   7.51E-03   7.74E-01   4.45E-02   -7.50E-01   1.00E+01
5.22E+05   -6.09E+00   6.20E+00   4.93E+00   1.37E+00   2.77E-01  8.60E-03   -1.63E-01   5.08E-03   7.70E-01   5.46E-02   -7.50E-01   1.00E+01
7.33E+05   -6.63E+00   5.91E+00   5.10E+00   1.36E+00   3.23E-01  8.90E-03   -1.66E-01   4.52E-03   7.64E-01   5.19E-02   -7.50E-01   1.00E+01
9.44E+05   -6.93E+00   5.76E+00   5.61E+00   1.35E+00   3.36E-01  9.80E-03   -1.68E-01   4.22E-03   7.56E-01   4.99E-02   -7.50E-01   1.00E+01
1.16E+06   -7.06E+00   5.71E+00   4.76E+00   1.35E+00   3.71E-01  8.30E-03   -1.69E-01   4.22E-03   7.43E-01   4.35E-02   -7.50E-01   1.00E+01
1.37E+06   -7.11E+00   5.70E+00   4.87E+00   1.36E+00   3.71E-01  8.50E-03   -1.69E-01   4.23E-03   7.28E-01   3.79E-02   -7.50E-01   1.00E+01
1.58E+06   -7.16E+00   5.68E+00   4.70E+00   1.29E+00   3.69E-01  8.20E-03   -1.70E-01   4.25E-03   7.13E-01   3.39E-02   -7.50E-01   1.00E+01
1.79E+06   -7.17E+00   5.68E+00   5.16E+00   1.39E+00   8.34E-02  9.00E-03   -1.70E-01   4.22E-03   7.03E-01   3.21E-02   -7.50E-01   1.00E+01
2.00E+06   -7.17E+00   5.69E+00   4.01E+00   1.43E+00   3.58E-01  7.00E-03   -1.70E-01   4.25E-03   6.87E-01   2.85E-02   -7.50E-01   1.00E+01
