 ref_Re      0-lift     dcl/da  dcl/da@stall  cl_max      cl_min   dCL@stall    cm_avg     min Cd    CL@CDmin     CD2         r         mach
1.00E+05   -3.09E+00   7.24E+00   2.99E+00   1.13E+00   -1.42E-01  1.98E-01   -1.04E-01   1.61E-02   6.56E-01   1.48E-02   -4.00E-01   1.00E+01
3.11E+05   -4.48E+00   6.05E+00   3.13E+00   1.16E+00   -1.36E-01  2.07E-01   -1.04E-01   7.40E-03   5.87E-01   1.76E-02   -7.50E-01   1.00E+01
5.22E+05   -4.44E+00   6.08E+00   2.24E+00   1.24E+00   -1.78E-01  1.68E-01   -1.03E-01   6.11E-03   5.82E-01   1.65E-02   -7.50E-01   1.00E+01
7.33E+05   -4.41E+00   6.11E+00   1.70E+00   1.34E+00   -2.80E-01  1.15E-01   -1.03E-01   5.53E-03   5.90E-01   1.73E-02   -7.50E-01   1.00E+01
9.44E+05   -4.39E+00   6.15E+00   1.35E+00   1.40E+00   -3.17E-01  7.80E-02   -1.03E-01   5.24E-03   5.94E-01   1.71E-02   -7.50E-01   1.00E+01
1.16E+06   -4.39E+00   6.14E+00   1.40E+00   1.47E+00   -1.24E-01  6.84E-02   -1.03E-01   4.99E-03   5.95E-01   1.86E-02   -7.50E-01   1.00E+01
1.37E+06   -4.40E+00   6.14E+00   1.33E+00   1.56E+00   -7.15E-02  1.86E-02   -1.03E-01   4.84E-03   5.99E-01   1.91E-02   -7.50E-01   1.00E+01
1.58E+06   -4.38E+00   6.16E+00   1.81E-01   1.58E+00   -6.18E-02  4.10E-03   -1.04E-01   4.78E-03   5.98E-01   1.84E-02   -7.50E-01   1.00E+01
1.79E+06   -4.39E+00   6.16E+00   9.96E-01   1.61E+00   -4.06E-02  1.39E-02   -1.04E-01   4.66E-03   5.97E-01   1.90E-02   -7.50E-01   1.00E+01
2.00E+06   -4.39E+00   6.16E+00   8.59E-01   1.65E+00   -4.14E-02  3.00E-03   -1.04E-01   4.62E-03   5.97E-01   1.88E-02   -7.50E-01   1.00E+01
