 ref_Re      0-lift     dcl/da  dcl/da@stall  cl_max      cl_min   dCL@stall    cm_avg     min Cd    CL@CDmin     CD2         r         mach
1.00E+05   -2.61E+00   6.94E+00   9.81E-01   1.34E+00   -3.92E-01  2.91E-02   -8.01E-02   1.72E-02   6.39E-01   1.58E-02   -4.00E-01   1.00E+01
5.33E+05   -3.77E+00   6.04E+00   1.19E+00   1.39E+00   -4.27E-01  4.76E-02   -8.18E-02   6.85E-03   5.14E-01   1.37E-02   -7.50E-01   1.00E+01
9.67E+05   -3.67E+00   6.15E+00   1.62E+00   1.41E+00   -9.98E-01  1.05E-01   -8.17E-02   6.13E-03   5.15E-01   1.07E-02   -7.50E-01   1.00E+01
1.40E+06   -3.63E+00   6.20E+00   1.79E+00   1.45E+00   -9.48E-01  1.38E-01   -8.17E-02   5.83E-03   5.12E-01   9.38E-03   -7.50E-01   1.00E+01
1.83E+06   -3.61E+00   6.23E+00   1.69E+00   1.51E+00   -8.50E-01  1.30E-01   -8.19E-02   5.66E-03   5.06E-01   8.57E-03   -7.50E-01   1.00E+01
2.27E+06   -3.61E+00   6.23E+00   1.84E+00   1.55E+00   -7.13E-01  1.44E-01   -8.19E-02   5.58E-03   5.04E-01   8.03E-03   -1.50E-01   1.00E+01
2.70E+06   -3.60E+00   6.25E+00   2.05E+00   1.59E+00   -7.61E-01  1.33E-01   -8.19E-02   5.51E-03   4.97E-01   7.49E-03   -1.50E-01   1.00E+01
3.13E+06   -3.59E+00   6.25E+00   1.86E+00   1.60E+00   -7.68E-01  1.46E-01   -8.20E-02   5.49E-03   4.90E-01   6.95E-03   -1.50E-01   1.00E+01
3.57E+06   -3.59E+00   6.26E+00   1.76E+00   1.63E+00   -7.83E-01  1.44E-01   -8.20E-02   5.48E-03   4.82E-01   6.48E-03   -1.50E-01   1.00E+01
4.00E+06   -3.58E+00   6.26E+00   1.77E+00   1.66E+00   -7.98E-01  1.46E-01   -8.20E-02   5.45E-03   4.75E-01   6.13E-03   -1.50E-01   1.00E+01
